name,priority,descriptions,start,end,sprintId,status,tag,topics,assigneeId,reviewerId,subtasks,complexOfDescription,sprint,projectId,sprint_map,project_map,uniId
Khảo sát thị trường nhà hàng,MAJOR,"<p>Nghiên cứu các ứng dụng đặt bàn hiện có, phân tích điểm mạnh yếu của đối thủ.</p>",2025-02-09,2025-02-13,sprint1_project1,DONE,THEORY,Research,21130320,21130416,Phân tích đối thủ - Xác định tính năng nổi bật,MEDIUM,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xác định yêu cầu chức năng cho ứng dụng đặt bàn,MAJOR,"<p>Thu thập và liệt kê các tính năng cần thiết cho ứng dụng (tìm kiếm, đặt bàn, xem menu).</p>",2025-02-10,2025-02-14,sprint1_project1,DONE,THEORY,Document,21130416,21130319,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project1,DONE,PRACTICE,Android,21130319,21130320,Cài đặt Android Studio - Khởi tạo project,LOW,1,project1,c469d85a-a19c-4411-88ca-c0041af4f8e5,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Tìm hiểu kiến trúc Android cơ bản,MAJOR,"<p>Nghiên cứu về Activity, Fragment, Intent và vòng đời của chúng.</p>",2025-02-16,2025-02-20,sprint2_project1,INPROCESS,THEORY,Android,21130416,21130319,Đọc tài liệu Android - Chạy thử ví dụ,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Thiết kế giao diện Prototype trang chủ (XML),MAJOR,<p>Xây dựng layout XML cho trang chủ ứng dụng đặt bàn.</p>,2025-02-23,2025-03-01,sprint2_project1,TODO,PRACTICE,XML-Android,21130319,21130320,Vẽ wireframe - Code XML,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Phân tích thiết kế Database cho nhà hàng,MAJOR,"<p>Thiết kế cấu trúc cơ sở dữ liệu cho thông tin nhà hàng, món ăn, người dùng, đặt bàn.</p>",2025-02-25,2025-03-01,sprint2_project1,TODO,PRACTICE,Database-Document,21130320,21130416,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project1,36524122-5b4b-47aa-8d46-d064c6cb28fd,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng.</p>,2025-03-02,2025-03-08,sprint3_project1,INPROCESS,PRACTICE,Android,21130319,21130320,Thiết kế layout - Xử lý input,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project1,TODO,PRACTICE,Research-Android,21130320,21130416,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project1,TODO,PRACTICE,Android,21130416,21130319,Thiết kế form - Kết nối API,MEDIUM,3,project1,dea18fd8-488a-4ba4-ab67-465749cc8498,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email, số điện thoại).</p>",2025-03-09,2025-03-15,sprint4_project1,INPROCESS,PRACTICE,Android,21130320,21130416,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project1,TODO,PRACTICE,Android,21130416,21130319,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project1,TODO,PRACTICE,Research-Database,21130319,21130320,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project1,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng tìm kiếm nhà hàng,MAJOR,"<p>Cho phép người dùng tìm kiếm nhà hàng theo tên, địa điểm, thể loại.</p>",2025-03-16,2025-03-29,sprint5_project1,INPROCESS,PRACTICE,Android-Database,21130416,21130319,Thiết kế giao diện tìm kiếm - Tích hợp API,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng trang chi tiết nhà hàng và menu,MAJOR,"<p>Hiển thị thông tin chi tiết của nhà hàng, bao gồm menu và hình ảnh.</p>",2025-03-18,2025-03-29,sprint5_project1,TODO,PRACTICE,Android-XML,21130319,21130320,Thiết kế layout - Load dữ liệu từ API,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hiện thực chức năng đặt bàn,MAJOR,"<p>Cho phép người dùng chọn thời gian, số lượng người và đặt bàn tại nhà hàng.</p>",2025-03-20,2025-03-29,sprint5_project1,TODO,PRACTICE,Android-Database,21130320,21130416,Thiết kế form đặt bàn - Gửi yêu cầu đặt bàn,MEDIUM,5,project1,d7111352-035f-46fa-9d96-85812f81b0f4,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng chức năng quản lý nhà hàng (Admin),MAJOR,"<p>Hiện thực giao diện và logic để quản lý thông tin nhà hàng (thêm, sửa, xóa).</p>",2025-03-30,2025-04-12,sprint6_project1,INPROCESS,PRACTICE,Android-Database,21130319,21130320,Thiết kế trang Admin - Xử lý CRUD nhà hàng,MEDIUM,6,project1,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Phát triển chức năng quản lý món ăn (Admin),MAJOR,"<p>Cho phép quản trị viên thêm, sửa, xóa món ăn và cập nhật giá.</p>",2025-04-02,2025-04-12,sprint6_project1,TODO,PRACTICE,Android-Database,21130320,21130416,Thiết kế form món ăn - Tích hợp API,MEDIUM,6,project1,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Xây dựng chức năng quản lý đặt bàn (Admin),MAJOR,<p>Cho phép quản trị viên xem và cập nhật trạng thái các đơn đặt bàn.</p>,2025-04-05,2025-04-12,sprint6_project1,TODO,PRACTICE,Android-Database,21130416,21130319,Thiết kế trang quản lý đặt bàn - Cập nhật trạng thái,MEDIUM,6,project1,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Kiểm thử chức năng tìm kiếm và đặt bàn,MAJOR,<p>Thực hiện kiểm thử để đảm bảo chức năng tìm kiếm và đặt bàn hoạt động đúng.</p>,2025-04-13,2025-04-19,sprint7_project1,INPROCESS,PRACTICE,Android-Research,21130320,21130416,Lập test case - Thực hiện test,MEDIUM,7,project1,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Kiểm thử và sửa lỗi giao diện người dùng,MAJOR,"<p>Kiểm tra tất cả các màn hình, đảm bảo giao diện hiển thị đúng và thân thiện.</p>",2025-04-15,2025-04-19,sprint7_project1,TODO,PRACTICE,Android-XML,21130416,21130319,Kiểm tra lỗi hiển thị - Điều chỉnh layout,MEDIUM,7,project1,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Đóng gói ứng dụng để kiểm thử (APK),MAJOR,<p>Tạo file APK để có thể cài đặt và kiểm thử ứng dụng trên thiết bị thật.</p>,2025-04-16,2025-04-19,sprint7_project1,TODO,PRACTICE,Android,21130319,21130320,Generate signed APK - Cài đặt trên thiết bị,MEDIUM,7,project1,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Chuẩn bị tài liệu hướng dẫn sử dụng,MAJOR,<p>Viết tài liệu hướng dẫn chi tiết cách sử dụng ứng dụng cho người dùng cuối.</p>,2025-04-20,2025-04-26,sprint8_project1,INPROCESS,THEORY,Document,21130416,21130319,Viết mô tả chức năng - Chụp ảnh màn hình,MEDIUM,8,project1,8b238fa2-6e02-47b0-8343-bd97d791ae65,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hoàn thiện tài liệu thiết kế hệ thống,MAJOR,"<p>Tổng hợp và hoàn thiện các tài liệu thiết kế cơ sở dữ liệu, kiến trúc hệ thống.</p>",2025-04-21,2025-04-26,sprint8_project1,TODO,THEORY,Document-Database,21130319,21130320,Review ERD - Cập nhật tài liệu kỹ thuật,MEDIUM,8,project1,8b238fa2-6e02-47b0-8343-bd97d791ae65,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Hoàn thành báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp các kết quả dự án, viết báo cáo và chuẩn bị slide thuyết trình.</p>",2025-04-23,2025-04-26,sprint8_project1,TODO,THEORY,Document,21130320,21130416,Viết tóm tắt dự án - Thiết kế slide,MEDIUM,8,project1,8b238fa2-6e02-47b0-8343-bd97d791ae65,821a94e2-eccb-4704-a2d6-2bd63068469a,21130320
Khảo sát nhu cầu học ngoại ngữ,MAJOR,<p>Nghiên cứu các ứng dụng học ngoại ngữ phổ biến và phương pháp học hiệu quả.</p>,2025-02-09,2025-02-13,sprint1_project2,DONE,THEORY,Research,21130451,21130444,Phân tích đối thủ - Đánh giá tính năng,MEDIUM,1,project2,c469d85a-a19c-4411-88ca-c0041af4f8e5,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Xác định các loại bài học và nội dung,MAJOR,"<p>Liệt kê các loại bài học (từ vựng, ngữ pháp, luyện nghe) và nội dung cần thiết.</p>",2025-02-10,2025-02-14,sprint1_project2,DONE,THEORY,Document,21130444,21130509,Xây dựng khung nội dung - Lên danh sách bài học,MEDIUM,1,project2,c469d85a-a19c-4411-88ca-c0041af4f8e5,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project2,DONE,PRACTICE,Android,21130509,21130451,Cài đặt Android Studio - Khởi tạo project,LOW,1,project2,c469d85a-a19c-4411-88ca-c0041af4f8e5,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Tìm hiểu các thành phần giao diện Android (XML),MAJOR,"<p>Nghiên cứu về LinearLayout, RelativeLayout, RecyclerView và cách sử dụng XML.</p>",2025-02-16,2025-02-20,sprint2_project2,INPROCESS,THEORY,XML-Android,21130444,21130509,Đọc tài liệu XML - Thực hành ví dụ,MEDIUM,2,project2,36524122-5b4b-47aa-8d46-d064c6cb28fd,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Thiết kế Prototype cho màn hình chính,MAJOR,<p>Xây dựng layout XML cho màn hình chính của ứng dụng học ngoại ngữ.</p>,2025-02-23,2025-03-01,sprint2_project2,TODO,PRACTICE,XML-Android,21130509,21130451,Vẽ wireframe - Code XML,MEDIUM,2,project2,36524122-5b4b-47aa-8d46-d064c6cb28fd,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Phân tích thiết kế Database cho nội dung học,MAJOR,"<p>Thiết kế cấu trúc CSDL cho từ vựng, ngữ pháp, bài tập, người dùng.</p>",2025-02-25,2025-03-01,sprint2_project2,TODO,PRACTICE,Database-Document,21130451,21130444,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project2,36524122-5b4b-47aa-8d46-d064c6cb28fd,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng học ngoại ngữ.</p>,2025-03-02,2025-03-08,sprint3_project2,INPROCESS,PRACTICE,Android,21130509,21130451,Thiết kế layout - Xử lý input,MEDIUM,3,project2,dea18fd8-488a-4ba4-ab67-465749cc8498,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project2,TODO,PRACTICE,Research-Android,21130451,21130444,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project2,dea18fd8-488a-4ba4-ab67-465749cc8498,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project2,TODO,PRACTICE,Android,21130444,21130509,Thiết kế form - Kết nối API,MEDIUM,3,project2,dea18fd8-488a-4ba4-ab67-465749cc8498,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email).</p>",2025-03-09,2025-03-15,sprint4_project2,INPROCESS,PRACTICE,Android,21130451,21130444,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project2,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project2,TODO,PRACTICE,Android,21130444,21130509,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project2,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project2,TODO,PRACTICE,Research-Database,21130509,21130451,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project2,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng hiển thị danh sách bài học,MAJOR,"<p>Xây dựng màn hình hiển thị danh sách các bài học (từ vựng, ngữ pháp).</p>",2025-03-16,2025-03-29,sprint5_project2,INPROCESS,PRACTICE,Android-Database,21130444,21130509,Thiết kế layout - Tích hợp dữ liệu bài học,MEDIUM,5,project2,d7111352-035f-46fa-9d96-85812f81b0f4,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng học từ vựng tương tác,MAJOR,"<p>Phát triển giao diện và logic cho các bài học từ vựng (flashcards, ghép nối).</p>",2025-03-18,2025-03-29,sprint5_project2,TODO,PRACTICE,Android-XML,21130509,21130451,Thiết kế hoạt động - Code logic tương tác,MEDIUM,5,project2,d7111352-035f-46fa-9d96-85812f81b0f4,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hiện thực chức năng luyện nghe và phát âm,MAJOR,<p>Cho phép người dùng nghe các đoạn hội thoại và luyện phát âm.</p>,2025-03-20,2025-03-29,sprint5_project2,TODO,PRACTICE,Android,21130451,21130444,Tích hợp API âm thanh - Ghi âm phát âm,MEDIUM,5,project2,d7111352-035f-46fa-9d96-85812f81b0f4,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Xây dựng chức năng quản lý nội dung bài học (Admin),MAJOR,"<p>Hiện thực giao diện và logic để quản lý từ vựng, ngữ pháp, bài tập.</p>",2025-03-30,2025-04-12,sprint6_project2,INPROCESS,PRACTICE,Android-Database,21130509,21130451,Thiết kế trang Admin - Xử lý CRUD nội dung,MEDIUM,6,project2,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Phát triển chức năng quản lý người dùng (Admin),MAJOR,<p>Cho phép quản trị viên xem và quản lý danh sách người dùng ứng dụng.</p>,2025-04-02,2025-04-12,sprint6_project2,TODO,PRACTICE,Android-Database,21130451,21130444,Thiết kế bảng người dùng - Cập nhật trạng thái,MEDIUM,6,project2,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Xây dựng chức năng báo cáo tiến độ học tập (Admin),MAJOR,"<p>Tạo báo cáo thống kê về tiến độ học của người dùng (số bài hoàn thành, điểm).</p>",2025-04-05,2025-04-12,sprint6_project2,TODO,PRACTICE,Android-Database,21130444,21130509,Thiết kế biểu đồ - Tích hợp dữ liệu,MEDIUM,6,project2,9a767bf6-8caf-43d2-b1d2-2e00b54bd6a7,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Kiểm thử chức năng học từ vựng và ngữ pháp,MAJOR,<p>Thực hiện kiểm thử để đảm bảo các bài học tương tác hoạt động đúng.</p>,2025-04-13,2025-04-19,sprint7_project2,INPROCESS,PRACTICE,Android-Research,21130451,21130444,Lập test case - Thực hiện test,MEDIUM,7,project2,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Kiểm thử và sửa lỗi giao diện người dùng,MAJOR,"<p>Kiểm tra tất cả các màn hình, đảm bảo giao diện hiển thị đúng và thân thiện.</p>",2025-04-15,2025-04-19,sprint7_project2,TODO,PRACTICE,Android-XML,21130444,21130509,Kiểm tra lỗi hiển thị - Điều chỉnh layout,MEDIUM,7,project2,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Đóng gói ứng dụng để kiểm thử (APK),MAJOR,<p>Tạo file APK để có thể cài đặt và kiểm thử ứng dụng trên thiết bị thật.</p>,2025-04-16,2025-04-19,sprint7_project2,TODO,PRACTICE,Android,21130509,21130451,Generate signed APK - Cài đặt trên thiết bị,MEDIUM,7,project2,f4b01b71-8ab6-4291-8fee-135a8f7c0d94,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Chuẩn bị tài liệu hướng dẫn sử dụng,MAJOR,<p>Viết tài liệu hướng dẫn chi tiết cách sử dụng ứng dụng cho người dùng cuối.</p>,2025-04-20,2025-04-26,sprint8_project2,INPROCESS,THEORY,Document,21130444,21130509,Viết mô tả chức năng - Chụp ảnh màn hình,MEDIUM,8,project2,8b238fa2-6e02-47b0-8343-bd97d791ae65,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hoàn thiện tài liệu thiết kế hệ thống,MAJOR,"<p>Tổng hợp và hoàn thiện các tài liệu thiết kế cơ sở dữ liệu, kiến trúc hệ thống.</p>",2025-04-21,2025-04-26,sprint8_project2,TODO,THEORY,Document-Database,21130509,21130451,Review ERD - Cập nhật tài liệu kỹ thuật,MEDIUM,8,project2,8b238fa2-6e02-47b0-8343-bd97d791ae65,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Hoàn thành báo cáo cuối kỳ,MAJOR,"<p>Tổng hợp các kết quả dự án, viết báo cáo và chuẩn bị slide thuyết trình.</p>",2025-04-23,2025-04-26,sprint8_project2,TODO,THEORY,Document,21130451,21130444,Viết tóm tắt dự án - Thiết kế slide,MEDIUM,8,project2,8b238fa2-6e02-47b0-8343-bd97d791ae65,a07e9b37-4131-49bc-9b4a-f341ceb75e3c,21130451
Khảo sát nhu cầu quản lý chi tiêu,MAJOR,<p>Nghiên cứu các ứng dụng quản lý chi tiêu hiện có và thói quen người dùng.</p>,2025-02-09,2025-02-13,sprint1_project3,DONE,THEORY,Research,21130601,21130612,Phân tích đối thủ - Xác định tính năng,MEDIUM,1,project3,c469d85a-a19c-4411-88ca-c0041af4f8e5,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Xác định yêu cầu chức năng cho ứng dụng chi tiêu,MAJOR,"<p>Liệt kê các tính năng cần thiết (ghi chép thu chi, phân loại, báo cáo).</p>",2025-02-10,2025-02-14,sprint1_project3,DONE,THEORY,Document,21130612,21130219,Phỏng vấn người dùng - Tổng hợp yêu cầu,MEDIUM,1,project3,c469d85a-a19c-4411-88ca-c0041af4f8e5,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Thiết lập môi trường phát triển Android,MINOR,"<p>Cài đặt Android Studio, SDK và cấu hình project ban đầu.</p>",2025-02-11,2025-02-15,sprint1_project3,DONE,PRACTICE,Android,21130219,21130601,Cài đặt Android Studio - Khởi tạo project,LOW,1,project3,c469d85a-a19c-4411-88ca-c0041af4f8e5,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Tìm hiểu các mẫu thiết kế giao diện Android,MAJOR,<p>Nghiên cứu các Material Design components và cách áp dụng trong XML.</p>,2025-02-16,2025-02-20,sprint2_project3,INPROCESS,THEORY,XML-Android,21130612,21130219,Đọc tài liệu Material Design - Thực hành ví dụ,MEDIUM,2,project3,36524122-5b4b-47aa-8d46-d064c6cb28fd,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Thiết kế Prototype cho màn hình ghi chép chi tiêu,MAJOR,<p>Xây dựng layout XML cho màn hình thêm giao dịch (thu/chi).</p>,2025-02-23,2025-03-01,sprint2_project3,TODO,PRACTICE,XML-Android,21130219,21130601,Vẽ wireframe - Code XML,MEDIUM,2,project3,36524122-5b4b-47aa-8d46-d064c6cb28fd,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Phân tích thiết kế Database cho giao dịch,MAJOR,"<p>Thiết kế cấu trúc CSDL cho các bảng giao dịch, danh mục, ví.</p>",2025-02-25,2025-03-01,sprint2_project3,TODO,PRACTICE,Database-Document,21130601,21130612,Xác định bảng - Thiết lập mối quan hệ,MEDIUM,2,project3,36524122-5b4b-47aa-8d46-d064c6cb28fd,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hiện thực màn hình đăng nhập,MAJOR,<p>Code giao diện và logic đăng nhập người dùng vào ứng dụng chi tiêu.</p>,2025-03-02,2025-03-08,sprint3_project3,INPROCESS,PRACTICE,Android,21130219,21130601,Thiết kế layout - Xử lý input,MEDIUM,3,project3,dea18fd8-488a-4ba4-ab67-465749cc8498,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Xây dựng API xác thực người dùng (Backend),MAJOR,"<p>Phát triển các API backend để xử lý đăng ký, đăng nhập và tạo token.</p>",2025-03-04,2025-03-08,sprint3_project3,TODO,PRACTICE,Research-Android,21130601,21130612,Thiết kế endpoint - Xử lý logic xác thực,MEDIUM,3,project3,dea18fd8-488a-4ba4-ab67-465749cc8498,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hiện thực chức năng đăng ký tài khoản,MAJOR,<p>Code giao diện và logic đăng ký tài khoản mới cho người dùng.</p>,2025-03-05,2025-03-08,sprint3_project3,TODO,PRACTICE,Android,21130612,21130219,Thiết kế form - Kết nối API,MEDIUM,3,project3,dea18fd8-488a-4ba4-ab67-465749cc8498,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hiện thực chức năng cập nhật thông tin cá nhân,MAJOR,"<p>Cho phép người dùng xem và chỉnh sửa thông tin cá nhân (tên, email).</p>",2025-03-09,2025-03-15,sprint4_project3,INPROCESS,PRACTICE,Android,21130601,21130612,Thiết kế layout - Tích hợp API cập nhật,MEDIUM,4,project3,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Hiện thực chức năng đổi mật khẩu,MAJOR,<p>Code giao diện và logic để người dùng có thể đổi mật khẩu của mình.</p>,2025-03-10,2025-03-15,sprint4_project3,TODO,PRACTICE,Android,21130612,21130219,Thiết kế form - Gửi yêu cầu đổi mật khẩu,MEDIUM,4,project3,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
Xây dựng API cho User Profile (Backend),MAJOR,<p>Phát triển API để lấy và cập nhật thông tin người dùng.</p>,2025-03-12,2025-03-15,sprint4_project3,TODO,PRACTICE,Research-Database,21130219,21130601,Thiết kế endpoint - Kết nối Database,MEDIUM,4,project3,e3fcd8e9-d658-4bbe-bb8f-6bf08a593ad3,44a9f8f3-f606-4e67-bd4e-60565f542204,21130601
