workspaceId,title,description,start,end,storyPoint
1,Phân tích đề tài,"- Chọn đề tài 
 - Ghi nhận các yêu cầu chung của giảng viên 
 - Ghi nhận các kiến thức và điểm mạnh của các thành viên 
 - Thiết lập khu vực lưu trữ code cho nhóm trên Github",09/03/2025,22/03/2025,10
2,Phân tích cơ sở dữ liệu,"- Phân tích yêu cầu và chuẩn bị kiến thức 
 - Xây dựng ERD",23/03/2025,05/04/2025,10
3,Thiết kế template,"- Thiết kế template cho các page 
 - Thiết kế template cho các trang",06/04/2025,19/04/2025,15
4,Báo cáo giữa kì,"Chuẩn bị: 
 - Tài liệu kết quả làm việc 
 - Demo giao diện",20/04/2025,26/04/2025,5
5,Hiện thực xác thực và phân quyền,"- Ứng dụng session 
 - Xác thực người dùng đã đăng ký 
 - Mã hóa mật khẩu 
 - Chặn người dùng vào một số trang theo quyền hạn",27/04/2025,03/05/2025,10
6,Hiện thực chức năng sản phẩm,"- Được phép tìm kiếm sản phẩm theo nhiều tiêu chí 
 - Có trang sản phẩm bán chạy 
 - Sản phẩm có nhiều ảnh, nhiều lựa chọn 
 - Có giao diện admin tạo sản phẩm",04/05/2025,10/05/2025,10
7,Hiện thực chức năng giỏ hàng,"- Lưu giỏ hàng trong session 
 - Phân biệt các sản phẩm giống và khác nhau khi thêm vào giỏ hàng",11/05/2025,17/05/2025,10
8,Hiện thực chức năng đơn hàng,"- Hiện thực cách tính tiền cho sản phẩm 
 - Người dùng có thể xem các đơn hàng đã đặt của người dùng 
 - Quản lý cập nhật trạng thái đơn hàng cho quản lý",18/05/2025,24/05/2025,10
9,Hiện thực chức năng đặc biệt,- Hiện thực chức năng đặc biệt của đề tài,25/05/2025,31/05/2025,10
10,Báo cáo cuối kì,"Chuẩn bị: 
 - Tài liệu hướng dẫn sử dụng 
 - Demo website",01/06/2025,07/06/2025,10