id,create_by,is_deleted,deleted_by,dt_created,dt_deleted,dt_modified,modified_by,commplex_of_description,description,dt_end,dt_planning,dt_start,name,num_changing_of_description,num_changing_of_priority,open,position,priority,status,tag,assignee_id,project_id,reviewer_id,sprint_id
79cd1ec9-8f38-42a4-ae09-bfe2d0e2c3ad,21130320,0,,2025-07-07 01:32:00.562650,,2025-07-08 01:25:48.195065,21130320,2,<p>Tìm hiểu JSP</p><p>Tìm hiểu thư viện hỗ trợ JSTL</p><p>Tự tạo 1 tag jstl custom</p>,2025-02-21 17:00:00.000000,,2025-02-15 17:00:00.000000,Tìm hiểu về ViewEngine JSP,1,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,17194877-c523-475f-9bf6-e627293e916f,de1a9928-7d90-4b22-9f2c-1c1977a9b1d3
f091190c-734c-42c3-80ce-84e76da24b94,21130320,0,,2025-07-07 01:23:48.205009,,2025-07-08 01:25:59.627612,21130320,0,<p><br></p>,2025-02-21 17:00:00.000000,,2025-02-15 17:00:00.000000,Vẽ ERD,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,17194877-c523-475f-9bf6-e627293e916f,de1a9928-7d90-4b22-9f2c-1c1977a9b1d3
ee7691ff-c9b6-4fab-8fde-2ccaddcad414,21130320,0,,2025-07-07 01:19:43.702224,,2025-07-08 01:25:27.423160,21130320,0,<p><br></p>,2025-02-14 17:00:00.000000,,2025-02-08 17:00:00.000000,Đối tượng sử dụng chính,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,29494edf-a498-48f4-85e1-e33775976468,565e13cb-7a4c-4f75-88f2-903a54ddc690
d1d45698-9c98-4887-ab83-5dc6fb0fe3b8,21130320,0,,2025-07-08 01:09:23.510112,,2025-07-08 01:09:23.510112,21130320,0,<p><br></p>,2025-05-17 17:00:00.000000,,2025-05-03 17:00:00.000000,Ràng buộc trạng thai đơn hàng,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,20550769-da23-4d54-983e-bdcc62d80a37
c2d1bba2-a1b0-4fed-aa49-088d3faaf097,21130320,0,,2025-07-08 00:44:40.612398,,2025-07-08 00:44:40.612398,21130320,0,<p><br></p>,2025-03-21 17:00:00.000000,,2025-03-15 17:00:00.000000,Tạo UI giỏ hàng,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0a98d5b3-7a3f-4cd0-a294-b04adeccbe7c
bf5a8e38-50fd-4aac-a76d-8a3e9084a4a4,21130320,0,,2025-07-08 01:06:53.767588,,2025-07-08 01:06:53.767588,21130320,0,<p><br></p>,2025-05-17 17:00:00.000000,,2025-05-03 17:00:00.000000,Đăng nhập với Google,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,20550769-da23-4d54-983e-bdcc62d80a37
b21a82f3-483d-431d-8bbc-7a802df804b3,21130320,0,,2025-07-08 01:03:15.126748,,2025-07-08 01:03:15.126748,21130320,0,<p><br></p>,2025-04-11 17:00:00.000000,,2025-03-29 17:00:00.000000,Tạo APi đơn hàng và thành toán,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,28e4b229-c075-444e-bb7e-b2f27a9fd103
a50089bb-409f-43bb-bb48-b0c04ee54f5e,21130320,0,,2025-07-07 01:12:15.854112,,2025-07-08 01:25:21.963469,21130320,0,<p><br></p>,2025-02-14 17:00:00.000000,,2025-02-08 17:00:00.000000,Mô hình kinh doanh trái cây,0,0,1,0,CRITICAL,TODO,THEORY,29494edf-a498-48f4-85e1-e33775976468,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,0efffdb4-b730-4f32-b930-79dddc45554a,565e13cb-7a4c-4f75-88f2-903a54ddc690
a48a80fc-5a7b-4ba2-82f1-59da6bf9b45c,21130320,0,,2025-07-08 00:44:33.660547,,2025-07-08 00:44:33.660547,21130320,0,<p><br></p>,2025-03-21 17:00:00.000000,,2025-03-15 17:00:00.000000,Viết SQL,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0a98d5b3-7a3f-4cd0-a294-b04adeccbe7c
9875eb8f-d632-4933-b2a4-00a8b3f08b08,21130320,0,,2025-07-07 01:29:53.350305,,2025-07-08 01:25:53.434543,21130320,0,"<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Routes</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Dispatcher</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Filter</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Model Attribute</li></ol>",2025-02-21 17:00:00.000000,,2025-02-15 17:00:00.000000,Tìm hiểu về Java Servlet,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,17194877-c523-475f-9bf6-e627293e916f,de1a9928-7d90-4b22-9f2c-1c1977a9b1d3
94d52d39-74f0-4910-baab-8dc002ad2157,21130320,0,,2025-07-07 13:49:31.327848,,2025-07-07 13:50:03.809882,21130320,0,<p><br></p>,2025-02-28 17:00:00.000000,,2025-02-22 17:00:00.000000,Xây dựng Bankend Đăng nhập/Đăng ký,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,5d57fb7a-7aab-4264-a6cf-12fc55f5093d
8b11f5a1-7fd9-42c9-87f0-ca02f5d69518,21130320,0,,2025-07-07 10:37:36.513832,,2025-07-07 10:37:36.513832,21130320,0,<p><br></p>,2025-03-14 17:00:00.000000,,2025-03-01 17:00:00.000000,Viết SQL lấy danh sách sản phẩm (có phân trang),0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,018a1ba5-dda1-4179-b73e-176e6693a371
7fbbd25e-f3f6-40ac-9644-db4e4267870a,21130320,0,,2025-07-07 01:23:01.903307,,2025-07-08 01:25:17.555685,21130320,0,<p><br></p>,2025-02-14 17:00:00.000000,,2025-02-08 17:00:00.000000,Bảo quản sản phẩm,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,17194877-c523-475f-9bf6-e627293e916f,565e13cb-7a4c-4f75-88f2-903a54ddc690
0593cc89-3f99-428f-a2d5-836c1426ecbf,21130320,0,,2025-07-08 01:02:52.163843,,2025-07-08 01:02:52.163843,21130320,0,<p><br></p>,2025-04-11 17:00:00.000000,,2025-03-29 17:00:00.000000,Tạo Ui đơn hàng,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,28e4b229-c075-444e-bb7e-b2f27a9fd103
6104e8a9-a27f-4477-84b1-da5243769113,21130320,0,,2025-07-08 00:44:54.530691,,2025-07-08 00:45:11.492131,21130320,0,<p><br></p>,2025-03-28 17:00:00.000000,,2025-03-22 17:00:00.000000,Tạo UI mã giảm giá,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0e1c0884-cd4f-4efe-85cf-ed3d6c1fce8d
6045f693-459e-4b85-97ee-e158e9934e95,21130320,0,,2025-07-07 10:33:01.567308,,2025-07-07 10:33:01.740724,21130320,0,<p><br></p>,,,,Tạo data mẫu cho sản phẩm,0,0,1,0,CRITICAL,BACKLOG,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,
5ac6c293-5858-482a-bc78-0992bcd2531e,21130320,0,,2025-07-08 00:44:49.118425,,2025-07-08 00:44:49.118425,21130320,0,<p><br></p>,2025-03-21 17:00:00.000000,,2025-03-15 17:00:00.000000,Tích hợp backend,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0a98d5b3-7a3f-4cd0-a294-b04adeccbe7c
4278214a-b080-44a8-a3bf-57094f6d42ea,21130320,0,,2025-07-07 13:46:14.653113,,2025-07-07 13:46:14.653113,21130320,0,<p><br></p>,2025-02-28 17:00:00.000000,,2025-02-22 17:00:00.000000,Xây dựng UI đăng nhập/Đăng ký,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,29494edf-a498-48f4-85e1-e33775976468,5d57fb7a-7aab-4264-a6cf-12fc55f5093d
2d4dfb6d-58d5-476e-8a4c-df8c6c03ae0b,21130320,0,,2025-07-07 13:53:25.963388,,2025-07-07 13:53:25.963388,21130320,0,<p><br></p>,2025-03-14 17:00:00.000000,,2025-03-01 17:00:00.000000,Thực hiện UI trang sản phẩm mới,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,018a1ba5-dda1-4179-b73e-176e6693a371
2171028c-5e8d-4920-a044-3ed769f620fd,21130320,0,,2025-07-07 13:57:36.139485,,2025-07-07 13:57:36.139485,21130320,0,<p><br></p>,2025-03-14 17:00:00.000000,,2025-03-01 17:00:00.000000,Tạo Api phân trang và tích hợp,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,018a1ba5-dda1-4179-b73e-176e6693a371
1f43f426-7dc6-4e4a-829d-e541663a0623,21130320,0,,2025-07-08 00:45:04.686543,,2025-07-08 00:45:04.686543,21130320,0,<p><br></p>,2025-03-28 17:00:00.000000,,2025-03-22 17:00:00.000000,Viết SQL mã giảm giá,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0e1c0884-cd4f-4efe-85cf-ed3d6c1fce8d
19959810-c46f-410e-b6c1-8b25300175b1,21130320,0,,2025-07-07 02:35:22.708426,,2025-07-08 01:26:18.393309,21130320,0,"<ol><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Tạo kết nối database bằng jdbi</li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Viết class util để xử lý chung </li><li data-list=""bullet""><span class=""ql-ui"" contenteditable=""false""></span>Tạo data mẫu cho user và test CRUD</li></ol>",2025-02-28 17:00:00.000000,,2025-02-22 17:00:00.000000,Thiết lập kết nối database,0,0,1,0,CRITICAL,TODO,THEORY,0efffdb4-b730-4f32-b930-79dddc45554a,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,5d57fb7a-7aab-4264-a6cf-12fc55f5093d
14561f34-9d74-4e47-ba44-8132ca09c9a6,21130320,0,,2025-07-08 01:09:12.531836,,2025-07-08 01:09:12.531836,21130320,0,<p><br></p>,2025-05-17 17:00:00.000000,,2025-05-03 17:00:00.000000,Quản lý đơn hàng cho admin,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,20550769-da23-4d54-983e-bdcc62d80a37
0ee366ac-5fc1-4144-8fa7-cd478a1b68fd,21130320,0,,2025-07-08 01:03:32.335964,,2025-07-08 01:03:32.335964,21130320,0,<p><br></p>,2025-04-11 17:00:00.000000,,2025-03-29 17:00:00.000000,Tích hợp đơn hàng,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,28e4b229-c075-444e-bb7e-b2f27a9fd103
09bc2067-ef86-4bfe-ae56-0edd47962ed5,21130320,0,,2025-07-08 00:45:26.669010,,2025-07-08 00:45:26.669010,21130320,0,<p><br></p>,2025-03-28 17:00:00.000000,,2025-03-22 17:00:00.000000,Tích hợp giỏ hàng,0,0,1,0,CRITICAL,TODO,THEORY,,caf9e00b-e1c5-4b0f-9c49-2eac892a327e,,0e1c0884-cd4f-4efe-85cf-ed3d6c1fce8d